grid,rho,scaling,h,fraction,error
81x61,0.25,h ~ rho,0.05,0.9168184578020644,0.032559198544888424
81x61,0.25,h = sqrt(rho/d_hi),0.22360679774997896,0.8455778182554139,-0.038681441001762074
161x121,0.125,h ~ rho,0.025,0.9257738309121708,0.041514571654994836
161x121,0.125,h = sqrt(rho/d_hi),0.15811388300841897,0.8746470920383964,-0.009612167218779555
321x241,0.0625,h ~ rho,0.0125,0.930313723969442,0.04605446471226604
321x241,0.0625,h = sqrt(rho/d_hi),0.11180339887498948,0.8793319631338788,-0.00492729612329712
641x481,0.03125,h ~ rho,0.00625,0.9325994661408078,0.04834020688363183
641x481,0.03125,h = sqrt(rho/d_hi),0.07905694150420949,0.8713483674482114,-0.012910891808964542
1281x961,0.015625,h ~ rho,0.003125,0.9337463171413463,0.049487057884170293
1281x961,0.015625,h = sqrt(rho/d_hi),0.05590169943749474,0.8758847187055508,-0.00837454055162512
